,quote,author
0,“It is better to be hated for what you are than to be loved for what you are not.”,André Gide
1,"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",Marilyn Monroe
2,"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”",Bob Marley
3,"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”",Elie Wiesel
4,"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”",Friedrich Nietzsche
5,"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”",Pablo Neruda
6,"“If you can make a woman laugh, you can make her do anything.”",Marilyn Monroe
7,“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”,Marilyn Monroe
8,"“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”",James Baldwin
9,"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",Jane Austen
10,"“To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.”",C.S. Lewis
11,“If I had a flower for every time I thought of you...I could walk through my garden forever.”,Alfred Tennyson
12,"“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”",Jane Austen
13,“To die will be an awfully big adventure.”,J.M. Barrie
14,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein
15,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe
16,"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison
17,"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",Marilyn Monroe
18,"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”",Elie Wiesel
19,"“To the well-organized mind, death is but the next great adventure.”",J.K. Rowling
20,“It is never too late to be what you might have been.”,George Eliot
21,“You can never get a cup of tea large enough or a book long enough to suit me.”,C.S. Lewis
22,“Only in the darkness can you see the stars.”,Martin Luther King Jr.
23,"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",Helen Keller
24,“Life isn't about finding yourself. Life is about creating yourself.”,George Bernard Shaw
25,"“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”",John Lennon
26,"“A person's a person, no matter how small.”",Dr. Seuss
27,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein
28,“It is better to be hated for what you are than to be loved for what you are not.”,André Gide
29,"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",Marilyn Monroe
30,"“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”",Douglas Adams
31,"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",Mark Twain
32,“Life is what happens to us while we are making other plans.”,Allen Saunders
33,"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”",Dr. Seuss
34,"“Life is like riding a bicycle. To keep your balance, you must keep moving.”",Albert Einstein
35,“Life isn't about finding yourself. Life is about creating yourself.”,George Bernard Shaw
36,“Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”,Ralph Waldo Emerson
37,“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”,Mark Twain
38,"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”",Jimi Hendrix
39,“But better to get hurt by the truth than comforted with a lie.”,Khaled Hosseini
40,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen
41,"“A day without sunshine is like, you know, night.”",Steve Martin
42,“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,Garrison Keillor
43,“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,Jim Henson
44,“All you need is love. But a little chocolate now and then doesn't hurt.”,Charles M. Schulz
45,"“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”",Suzanne Collins
46,“Some people never go crazy. What truly horrible lives they must lead.”,Charles Bukowski
47,"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”",Terry Pratchett
48,"“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”",Dr. Seuss
49,“The reason I talk to myself is because I’m the only one whose answers I accept.”,George Carlin
50,“I am free of all prejudice. I hate everyone equally. ”,W.C. Fields
51,"“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”",Jane Austen
52,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen
53,"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",Mark Twain
54,“I have always imagined that Paradise will be a kind of library.”,Jorge Luis Borges
55,“You can never get a cup of tea large enough or a book long enough to suit me.”,C.S. Lewis
56,"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”",Haruki Murakami
57,“There is no friend as loyal as a book.”,Ernest Hemingway
58,"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”",J.D. Salinger
59,“′Classic′ - a book which people praise and don't read.”,Mark Twain
60,"“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”",Jane Austen
61,"“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”",Madeleine L'Engle
62,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",George R.R. Martin
63,"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”",Dr. Seuss
64,“We read to know we're not alone.”,William Nicholson
65,"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”",George R.R. Martin
66,“You can never get a cup of tea large enough or a book long enough to suit me.”,C.S. Lewis
67,"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”",J.D. Salinger
68,“′Classic′ - a book which people praise and don't read.”,Mark Twain
69,"“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”",Jane Austen
70,"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”",Friedrich Nietzsche
71,"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",Mark Twain
72,"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",Bob Marley
73,"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",Jane Austen
74,“If I had a flower for every time I thought of you...I could walk through my garden forever.”,Alfred Tennyson
75,"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",Marilyn Monroe
76,"“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”",J.K. Rowling
77,"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",Mark Twain
